Período;Região;Instituição;Localização Geográfica;Nº Episódios Cirúrgicos Ambulat com Procedimentos Ambulatorizáveis;Nº Episódios Cirúrgicos Ambulat e Intern com Proced Ambulatorizáveis;% Cir. Ambulatório (GDH) para Procedimentos Ambulatorizáveis
2013-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;281;373;75.3
2013-03;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;575;714;80.5
2013-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;523;652;80.2
2013-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1764;2317;76.1
2013-03;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;746;946;78.9
2013-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1478;1845;80.1
2013-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;715;943;75.8
2013-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;449;626;71.7
2013-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;313;414;75.6
2013-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;975;1216;80.2
2013-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;1199;1763;68.0
2013-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;976;1308;74.6
2013-04;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;272;310;87.7
2013-04;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;55;55;100.0
2013-04;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;509;718;70.9
2013-04;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;999;1276;78.3
2013-04;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;877;1281;68.5
2013-04;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;1706;2113;80.7
2013-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;1289;1601;80.5
2013-05;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;147;343;42.9
2013-05;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;1564;2283;68.5
2013-05;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2013-05;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;363;411;88.3
2013-05;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1035;1377;75.2
2013-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;3;154;1.9
2013-05;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;2201;2698;81.6
2013-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;787;1090;72.2
2013-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;1880;2745;68.5
2013-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1414;1902;74.3
2013-06;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;55;55;100.0
2013-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;340;545;62.4
2013-06;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;460;823;55.9
2013-06;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;984;984;100.0
2013-06;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;3467;4599;75.4
2013-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;914;1365;67.0
2013-06;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1345;1942;69.3
2013-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;3;202;1.5
2013-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2013-06;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;543;802;67.7
2013-06;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;1952;2404;81.2
2013-07;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;1633;2027;80.6
2013-07;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;89;89;100.0
2013-07;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;17;171;9.9
2013-07;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1583;3001;52.7
2013-07;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;1612;2063;78.1
2013-07;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2013-07;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;1090;1487;73.3
2013-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;314;589;53.3
2013-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;2659;3155;84.3
2013-08;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2013-08;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;420;420;100.0
2013-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1387;1886;73.5
2013-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;1158;1704;68.0
2013-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;936;1264;74.1
2013-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1686;3322;50.8
2013-08;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;16;301;5.3
2013-08;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;709;1020;69.5
2013-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;856;1137;75.3
2013-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;2633;3828;68.8
2013-09;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;468;468;100.0
2013-09;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;138;138;100.0
2013-09;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;24;213;11.3
2013-09;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;451;713;63.3
2013-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;4739;5826;81.3
2013-09;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;478;993;48.1
2013-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;1372;1989;69.0
2013-09;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;98;238;41.2
2013-09;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;4260;5168;82.4
2013-09;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1829;2730;67.0
2013-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;1621;2233;72.6
2013-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;1333;1817;73.4
2013-10;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;1808;2405;75.2
2013-10;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;878;1203;73.0
2013-10;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;5258;6482;81.1
2013-10;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;2202;2839;77.6
2013-10;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;1427;2101;67.9
2013-10;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;4888;5926;82.5
2013-10;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;512;951;53.8
2013-10;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;2140;3168;67.6
2013-10;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2013-10;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;1523;2060;73.9
2013-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;870;1110;78.4
2013-11;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;2280;3023;75.4
2013-11;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;3759;4371;86.0
2013-11;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;606;606;100.0
2013-11;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;1069;1519;70.4
2013-11;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;2191;2635;83.1
2013-11;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;1836;1836;100.0
2013-11;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;5309;7201;73.7
2013-11;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;2497;3645;68.5
2013-11;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;948;1416;66.9
2013-11;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;2119;2911;72.8
2013-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;967;1233;78.4
2013-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;2339;3015;77.6
2013-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;379;801;47.3
2013-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;2443;3235;75.5
2013-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;5924;7826;75.7
2013-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;657;993;66.2
2013-12;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;1159;1659;69.9
2013-12;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;2091;2091;100.0
2013-12;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;127;329;38.6
2013-12;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;2652;3406;77.9
2013-12;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;3873;5197;74.5
2013-12;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;2781;4027;69.1
2013-12;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;1299;1823;71.3
2013-12;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2013-12;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;956;1278;74.8
2013-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;2309;3169;72.9
2014-01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;262;314;83.4
2014-01;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;6;27;22.2
2014-01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;132;150;88.0
2014-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;171;197;86.8
2014-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;264;385;68.6
2014-01;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;267;267;100.0
2014-01;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;221;285;77.5
2014-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;352;447;78.7
2014-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;405;468;86.5
2014-01;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2014-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;241;332;72.6
2014-02;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;1115;1460;76.4
2014-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;457;592;77.2
2014-02;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;0;0;
2014-02;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;295;336;87.8
2014-02;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;407;496;82.1
2014-02;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1081;1438;75.2
2014-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;85;175;48.6
2014-02;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;981;1116;87.9
2014-02;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;215;245;87.8
2014-02;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;481;590;81.5
2014-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;335;456;73.5
2014-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;183;267;68.5
2014-03;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;157;300;52.3
2014-03;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;759;1007;75.4
2014-03;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;325;372;87.4
2014-03;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;270;315;85.7
2014-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;745;962;77.4
2014-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;746;907;82.2
2014-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;472;542;87.1
2014-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;714;951;75.1
2014-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;156;344;45.3
2014-04;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2014-04;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;17;120;14.2
2014-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;259;375;69.1
2014-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;835;1088;76.7
2014-04;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;393;605;65.0
2014-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;825;995;82.9
2014-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;2166;2874;75.4
2014-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;622;849;73.3
2014-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;1537;1749;87.9
2014-04;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;355;413;86.0
2014-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;689;829;83.1
2014-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;2537;3126;81.2
2014-05;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;1222;1222;100.0
2014-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;2028;2483;81.7
2014-05;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;491;572;85.8
2014-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;427;495;86.3
2014-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;1270;1649;77.0
2014-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;219;501;43.7
2014-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;2152;2854;75.4
2014-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;1015;1441;70.4
2014-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;815;1120;72.8
2014-06;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;2481;3038;81.7
2014-06;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;1515;2046;74.0
2014-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;2180;2467;88.4
2014-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;2835;3490;81.2
2014-06;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;2937;3419;85.9
2014-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;1029;1222;84.2
2014-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;260;580;44.8
2014-07;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;875;1156;75.7
2014-07;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1362;1754;77.7
2014-07;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1717;2230;77.0
2014-07;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;0;0;
2014-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;1198;1363;87.9
2014-07;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;2786;3434;81.1
2014-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;1704;2229;76.4
2014-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;1881;2303;81.7
2014-08;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;1599;2095;76.3
2014-08;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;293;644;45.5
2014-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;2829;3116;90.8
2014-08;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;858;1098;78.1
2014-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;3731;4568;81.7
2014-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;1007;1407;71.6
2014-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;2097;3316;63.2
2014-08;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;1603;2096;76.5
2014-08;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;2681;3036;88.3
2014-09;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;317;694;45.7
2014-09;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2014-09;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;302;302;100.0
2014-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;1733;2195;79.0
2014-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;2044;2646;77.2
2014-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1810;2188;82.7
2014-09;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;1842;2408;76.5
2014-09;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;710;827;85.9
2014-10;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;1968;2577;76.4
2014-10;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;1324;1752;75.6
2014-10;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;2104;2768;76.0
2014-10;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;844;1025;82.3
2014-10;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;1799;2110;85.3
2014-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;1070;1411;75.8
2014-11;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;3659;4766;76.8
2014-11;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;4150;4538;91.4
2014-11;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;1274;1790;71.2
2014-11;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;448;528;84.8
2014-11;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;1226;1544;79.4
2014-11;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;0;0;
2014-11;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;3028;3528;85.8
2014-11;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;1447;1892;76.5
